STT,TINH,Địa chỉ
1191,Tỉnh Đồng Nai,"475 Thọ Chánh (Ngay Ngã Ba) - Thọ Tân, X. Xuân Thọ, H. Xuân Lộc, Tỉnh Đồng Nai"
1192,Tỉnh Đồng Nai,"07 Nguyễn Tất Thành (Cách Trạm Y Tế Vĩnh An 50m), TT. Vĩnh An, H. Vĩnh Cửu, Tỉnh Đồng Nai"
1193,Tỉnh Đồng Nai,"Đường ĐT764 (Đối Diện UNBD), X. Xuân Mỹ, H. Cẩm Mỹ, Tỉnh Đồng Nai"
1194,Tỉnh Đồng Nai,"425-427 Ấp Trung Tín (Ngay Chợ Chiều), X. Xuân Trường, H. Xuân Lộc, Tỉnh Đồng Nai"
1195,Tỉnh Đồng Nai,"328 Hồng Thập Tự (Ngay Ngã 4 Đường Rày), P. Xuân Trung, TP. Long Khánh, Tỉnh Đồng Nai"
1196,Tỉnh Đồng Nai,"2497 Quốc Lộ 1A (Ngay Ngã 3 Suối Cát), X. Suối Cát, H. Xuân Lộc, Tỉnh Đồng Nai"
1197,Tỉnh Đồng Nai,"101 Ấp Cọ Dầu (Ngay Ngã 3 Xuân Tây), X. Xuân Đông, H. Cẩm Mỹ, Tỉnh Đồng Nai"
1198,Tỉnh Đồng Nai,"2 Đường ĐT763 (Ngay Chợ Suối Nho), X. Suối Nho, H. Định Quán, Tỉnh Đồng Nai"
1199,Tỉnh Đồng Nai,"76A Suối Tre - Bình Lộc, P. Suối Tre, TP. Long Khánh, Tỉnh Đồng Nai"
1200,Tỉnh Đồng Nai,"36 Trần Phú (101 Đinh Tiên Hoàng), P. Xuân An, TP. Long Khánh, Tỉnh Đồng Nai"
1201,Tỉnh Đồng Nai,"602 Quốc Lộ 20 (Gần Chùa Bửu Long), TT. Tân Phú, H. Tân Phú, Tỉnh Đồng Nai"
1202,Tỉnh Đồng Nai,"01 Đường Số 8, P. Xuân Lập, TP. Long Khánh, Tỉnh Đồng Nai"
1203,Tỉnh Đồng Nai,"666/20 Trần Cao Vân (Gần Chợ Dầu Giây), TT. Dầu Giây, H. Thống Nhất, Tỉnh Đồng Nai"
1204,Tỉnh Đồng Nai,"312 Lê Duẩn (Đối Diện Bưu Điện Long Thành), TT. Long Thành, H. Long Thành, Tỉnh Đồng Nai"
1205,Tỉnh Đồng Nai,"597 Hùng Vương (Ngã Ba Hùng Vương - Hai Bà Trưng), P. Xuân Hoà, TP. Long Khánh, Tỉnh Đồng Nai"
1206,Tỉnh Đồng Nai,"387 Ấp Suối Nhát 2, X. Xuân Đông, H. Cẩm Mỹ, Tỉnh Đồng Nai"
1207,Tỉnh Đồng Nai,"07-08 Phố 1 (Đối Diện Chợ Phú Lợi), X. Phú Vinh, H. Định Quán, Tỉnh Đồng Nai"
1208,Tỉnh Đồng Nai,"32C Hùng Vương (Ngã Tư Hùng Vương - Nguyễn Hoàng), TT. Trảng Bom, H. Trảng Bom, Tỉnh Đồng Nai"
1209,Tỉnh Đồng Nai,"183 Hùng Vương (Ngay Ngã Tư Hùng Vương - Lê Duẩn), TT. Gia Ray, H. Xuân Lộc, Tỉnh Đồng Nai"
1210,Tỉnh Đồng Nai,"1052 Quốc Lộ 1A (Đầu Đường Chợ Quảng Biên), X. Quảng Tiến, H. Trảng Bom, Tỉnh Đồng Nai"
1211,Tỉnh Đồng Nai,"491 Trần Phú (Ngay Vòng Xoay Bến Cam), X. Phước Thiền, H. Nhơn Trạch, Tỉnh Đồng Nai"
1212,Tỉnh Đồng Nai,"66 Phan Đình Phùng (Cổng Sau Chợ Đêm Biên Hùng), P. Quang Vinh, TP. Biên Hòa, Tỉnh Đồng Nai"
1213,Tỉnh Đồng Nai,"153 Phùng Hưng, P. Tam Phước, TP. Biên Hoà, Tỉnh Đồng Nai"
1214,Tỉnh Đồng Nai,"67 Đường 2/9, TT. Trảng Bom, H. Trảng Bom, Tỉnh Đồng Nai"
1215,Tỉnh Đồng Nai,"47A Hùng Vương, P. Xuân An, TP. Long Khánh, Tỉnh Đồng Nai"
1216,Tỉnh Đồng Nai,"08 Quốc Lộ 20, Ấp Cây Xăng, X. Phú Túc, H. Định Quán, Tỉnh Đồng Nai"
1217,Tỉnh Đồng Nai,"9 Vũ Hồng Phô, P. Bình Đa, TP. Biên Hoà, Tỉnh Đồng Nai"
1218,Tỉnh Đồng Nai,"13/3 Quốc Lộ 56, Ấp Duyên Lãng, X. Nhân Nghĩa, H. Cẩm Mỹ, Tỉnh Đồng Nai"
1219,Tỉnh Đồng Nai,"482 Nguyễn Ái Quốc, P. Hố Nai, TP. Biên Hòa, Tỉnh Đồng Nai"
1220,Tỉnh Đồng Nai,"23/79 Lê Đại Hành, P. Hố Nai, TP. Biên Hòa, Tỉnh Đồng Nai"
1221,Tỉnh Đồng Nai,"21 Quốc Lộ 20, TT. Định Quán, H. Định Quán, Tỉnh Đồng Nai"
1222,Tỉnh Đồng Nai,"16/1A Ấp Đông Kim, X. Gia Kiệm, H. Thống Nhất, Tỉnh Đồng Nai"
1223,Tỉnh Đồng Nai,"125/13A - 125/13B Phạm Văn Thuận, P. Tam Hiệp, TP. Biên Hòa, Tỉnh Đồng Nai"
1224,Tỉnh Đồng Nai,"26/6C Cách Mạng Tháng Tám, P. Quang Vinh, TP. Biên Hòa, Tỉnh Đồng Nai"
1225,Tỉnh Đồng Nai,"9/11A Bùi Trọng Nghĩa, P.Trảng Dài, TP. Biên Hòa, Tỉnh Đồng Nai"
1226,Tỉnh Đồng Nai,"356A Bùi Văn Hoà, P. Long Bình Tân, TP. Biên Hoà, Tỉnh Đồng Nai"
1227,Tỉnh Đồng Nai,"571 Tỉnh Lộ 767, X. Bắc Sơn, H. Trảng Bom, Tỉnh Đồng Nai"
1228,Tỉnh Đồng Nai,"21 Nguyễn Phúc Chu, P. Trảng Dài, TP. Biên Hòa, Tỉnh Đồng Nai"
1229,Tỉnh Đồng Nai,"24 Đ643 Xa Lộ Hà Nội, P. Long Bình, TP. Biên Hoà, Tỉnh Đồng Nai"
1230,Tỉnh Đồng Nai,"9 Xa Lộ Hà Nội, P. Tân Biên, TP. Biên Hoà, Tỉnh Đồng Nai"
1231,Tỉnh Đồng Nai,"126C Phan Đình Phùng - 02 Hưng Đạo Vương, P. Thanh Bình, TP. Biên Hoà, Tỉnh Đồng Nai"
1232,Tỉnh Đồng Nai,"786 Phạm Văn Thuận, Khu Phố 1, P. Tân Mai, TP. Biên Hòa, Tỉnh Đồng Nai"
1233,Tỉnh Đồng Nai,"562 Quốc Lộ 1A, KP10, P. Tân Biên, TP. Biên Hòa, Tỉnh Đồng Nai"
1234,Tỉnh Đồng Nai,"5 Hai Bà Trưng, TT. Long Thành, H. Long Thành, Tỉnh Đồng Nai"
1235,Tỉnh Đồng Tháp,"75 Trần Hưng Đạo (Ngã Tư Lê Hồng Phong - Trần Hưng Đạo), P. An Thạnh, TP. Hồng Ngự, Tỉnh Đồng Tháp"
1236,Tỉnh Đồng Tháp,"Số 10 Quốc Lộ 80 (Cạnh Trạm Xe Phú- Chợ Nha Mân), X. Tân Nhuận Đông, H. Châu Thành, Tỉnh Đồng Tháp"
1237,Tỉnh Đồng Tháp,"64 Đường ĐT844 (Ngay Cổng Chợ Phú Thành A), X. Phú Thành A, H. Tam Nông, Tỉnh Đồng Tháp"
1238,Tỉnh Đồng Tháp,"280 Gò Tháp (Ngay Trụ Đèn Giao Thông Cầu Ngân Hàng), TT. Mỹ An, H. Tháp Mười, Tỉnh Đồng Tháp"
1239,Tỉnh Đồng Tháp,"50 Phạm Hữu Lầu (Ngay Chợ Ông Bầu), TT. Mỹ Thọ, H. Cao Lãnh, Tỉnh Đồng Tháp"
1240,Tỉnh Đồng Tháp,"54 ĐT 851 (Đối Diện Huyện Uỷ Lai Vung), TT. Lai Vung, H. Lai Vung, Tỉnh Đồng Tháp"
1241,Tỉnh Đồng Tháp,"300 Ấp Khánh An (Gần Chợ Mương Điều), X. Tân Khánh Trung, H. Lấp Vò, Tỉnh Đồng Tháp"
1242,Tỉnh Đồng Tháp,"02 Lê Thị Hồng Gấm (Đối Diện Bưu Điện), P. An Thạnh, TP. Hồng Ngự, Tỉnh Đồng Tháp"
1243,Tỉnh Đồng Tháp,"Phạm Hữu Lầu (Ngay Ngã Tư Chợ Đêm), TT. Tràm Chim, H. Tam Nông, Tỉnh Đồng Tháp"
1244,Tỉnh Đồng Tháp,"186 Thiên Hộ Dương (Ngay Ngã Tư), P. Hoà Thuận, TP. Cao Lãnh, Tỉnh Đồng Tháp"
1245,Tỉnh Đồng Tháp,"40 Nguyễn Văn Phối (Đối Diện Chợ Thường Thới), TT. Thường Thới Tiền, H. Hồng Ngự, Tỉnh Đồng Tháp"
1246,Tỉnh Đồng Tháp,"ĐT848 (Ngay Chợ Đất Sét), Ấp An Thuận, X. Mỹ An Hưng B, H. Lấp Vò, Tỉnh Đồng Tháp"
1247,Tỉnh Đồng Tháp,"Quốc Lộ 30 (Ngay Ngã 4 Xẻo Quýt), X. Mỹ Long, H. Cao Lãnh, Tỉnh Đồng Tháp"
1248,Tỉnh Đồng Tháp,"Thửa Đất Số 227 (Ngay Vòng Xoay Chợ), Tờ Bản Đồ 47, X. Trường Xuân, H. Tháp Mười, Tỉnh Đồng Tháp"
1249,Tỉnh Đồng Tháp,"75 Trần Phú (Ngay Ngã Tư Đường Trần Phú Và Nguyễn Tất Thành), P. 1, TP. Sa Đéc, Tỉnh Đồng Tháp"
1250,Tỉnh Đồng Tháp,"128C/1 Quốc Lộ 54 (Đối Diện Chợ Phong Hoà), X. Phong Hoà, H. Lai Vung, Tỉnh Đồng Tháp"
1251,Tỉnh Đồng Tháp,"196 Điện Biên Phủ, P. Mỹ Phú, TP. Cao Lãnh, Tỉnh Đồng Tháp"
1252,Tỉnh Đồng Tháp,"298 Quốc Lộ 30 (Ngay Ngã Tư), P. Mỹ Phú, TP. Cao Lãnh, Tỉnh Đồng Tháp"
1253,Tỉnh Đồng Tháp,"860D Quốc Lộ 80 (Ngay Chợ Vàm Cống), X. Bình Thành, H. Lấp Vò, Tỉnh Đồng Tháp"
1254,Tỉnh Đồng Tháp,"568A Quốc Lộ 54, X. Tân Thành, H. Lai Vung, Tỉnh Đồng Tháp"
1255,Tỉnh Đồng Tháp,"333 Quốc Lộ 30, X. An Phong, H. Thanh Bình, Tỉnh Đồng Tháp"
1256,Tỉnh Đồng Tháp,"96 Trần Hưng Đạo (Ngã Tư Trần Hưng Đạo - Lê Hồng Phong), P. An Thạnh, TP. Hồng Ngự, Tỉnh Đồng Tháp"
1257,Tỉnh Đồng Tháp,"09 Lô 07B (Ngay Chợ Định Yên), X. Định Yên, H. Lấp Vò, Tỉnh Đồng Tháp"
1258,Tỉnh Đồng Tháp,"162A Đường 3/2 (Ngay Chợ Lấp Vò), TT. Lấp Vò, H. Lấp Vò, Tỉnh Đồng Tháp"
1259,Tỉnh Đồng Tháp,"20 Nguyễn Văn Voi, TT. Cái Tàu Hạ, H. Châu Thành, Tỉnh Đồng Tháp"
1260,Tỉnh Đồng Tháp,"48A Nguyễn Huệ, TT. Sa Rài, H. Tân Hồng, Tỉnh Đồng Tháp"
1261,Tỉnh Đồng Tháp,"1504 Quốc Lộ 30, P. 11, TP.Cao Lãnh, Tỉnh Đồng Tháp"
1262,Tỉnh Đồng Tháp,"27 Trần Văn Năng, TT. Thanh Bình, H. Thanh Bình, Tỉnh Đồng Tháp"
1263,Tỉnh Đồng Tháp,"866 Quốc Lộ 30, X. An Long, H. Tam Nông, Tỉnh Đồng Tháp"
1264,Tỉnh Đồng Tháp,"57 Trần Phú, TT. Mỹ An, H. Tháp Mười, Tỉnh Đồng Tháp"
1265,Tỉnh Đồng Tháp,"1B DT852, P. An Hòa, TP. Sa Đéc, Tỉnh Đồng Tháp"
1266,Tỉnh Đồng Tháp,"A11 Trần Hưng Đạo, P. 2, TP. Sa Đéc, Tỉnh Đồng Tháp"
1267,Tỉnh Đồng Tháp,"28 Nguyễn Minh Trí, P. 2, TP. Cao Lãnh, Tỉnh Đồng Tháp"
1268,Tỉnh Đồng Tháp,"407 Đường 30/4, P. 1, TP. Cao Lãnh, Tỉnh Đồng Tháp"
1269,Tỉnh Gia Lai,"311 Nguyễn Huệ (Đối Diện Chợ Krông Chro), TT. Kông Chro, H. Kông Chro, Tỉnh Gia Lai"
1270,Tỉnh Gia Lai,"Thôn Tân Hiệp (Ngã Ba Chí Công, Hướng Vào Chùa Linh Hội), X. Tân An, H. ĐakPơ, Tỉnh Gia Lai"
1271,Tỉnh Gia Lai,"167 Hùng Vương (Gần Ngã Tư Phan Bội Châu Và Hùng Vương), P. Hội Thương, TP. PleiKu, Tỉnh Gia Lai"
1272,Tỉnh Gia Lai,"Thôn 6 (Ngã Tư Đường Đi Biển Hồ Chè Nghĩa Hưng), X. Nghĩa Hưng, H. Chư Păh, Tỉnh Gia Lai"
1273,Tỉnh Gia Lai,"1047 Quang Trung, P. An Phú, TX. An Khê, Tỉnh Gia Lai"
1274,Tỉnh Gia Lai,"248-250 Nguyễn Tất Thành (Ngay Đoạn Giao Nguyễn Tất Thành – Phù Đổng), P. Phù Đổng, TP. Pleiku, Tỉnh Gia Lai"
1275,Tỉnh Gia Lai,"813 Hùng Vương (Ngã Ba Chư Sê- Quốc Lộ 14, Đối Diện Siêu Thị Coopmart), TT. Chư Sê, H. Chư sê, Tỉnh Gia Lai"
1276,Tỉnh Gia Lai,"209 Trường Chinh (Ngã Ba Trường Chinh - Phạm Ngũ Lão, Gần Chợ Nơ Trang Long), P. Trà Bá, TP. PleiKu, Tỉnh Gia Lai"
1277,Tỉnh Gia Lai,"41 Thống Nhất (Trung Tâm Thị Xã), TT. Phú Túc, H. Krông Pa, Tỉnh Gia Lai"
1278,Tỉnh Gia Lai,"TDP7 (1407 Quang Trung, Tây Sơn), P. Tây Sơn, TX. An Khê, Tỉnh Gia Lai"
1279,Tỉnh Gia Lai,"211 Quang Trung (Đối Diện Công Viên Huyện Kbang), TT. KBang, H. KBang, Tỉnh Gia Lai"
1280,Tỉnh Gia Lai,"470-472 Hùng Vương (Gần Chợ Phú Thiện), TT. Phú Thiện, H. Phú Thiện, Tỉnh Gia Lai"
1281,Tỉnh Gia Lai,"161 Trần Hưng Đạo (Ngay trung tâm Thị xã Ayun Pa), P. Đoàn Kết, TX. Ayun Pa, Tỉnh Gia Lai"
1282,Tỉnh Gia Lai,"Tổ Dân Phố 3 (555 Quang Trung, Chư Ty), TT. Chư Ty, H. Đức Cơ, Tỉnh Gia Lai"
1283,Tỉnh Gia Lai,"465 Nguyễn Huệ (Ngay Bùng Binh Đăk Đoa), TT. Đak Đoa, H. Đak Đoa, Tỉnh Gia Lai"
1284,Tỉnh Gia Lai,"Tổ Dân Phố 2 (320 Hùng Vương, Ia Kha), TT. Ia Kha, H. Ia Grai, Tỉnh Gia Lai"
1285,Tỉnh Gia Lai,"188 Hùng Vương (Ngã Chợ Chư Pưh, Đối Diện Trụ Sở Huyện), TT. Nhơn Hòa, H. Chư Pưh, Tỉnh Gia Lai"
1286,Tỉnh Gia Lai,"376 Lê Duẩn, P. Thắng Lợi, TP. Pleiku, Tỉnh Gia Lai"
1287,Tỉnh Gia Lai,"02B Hùng Vương (Ngã Tư Trục Đường Chính Giữa Hùng Vương Và TP. Buôn Ma Thuột), P. Ia Kring, TP. Pleiku, Tỉnh Gia Lai"
1288,Tỉnh Gia Lai,"838 Phạm Văn Đồng (Ngã Tư Biển Hồ), P. Yên Thế, TP. Pleiku, Tỉnh Gia Lai"
1289,Tỉnh Gia Lai,"01 Lý Thái Tổ (Trung Tâm Thị Trấn ), TT. Kon Dơng, H. Mang Yang, Tỉnh Gia Lai"
1290,Tỉnh Gia Lai,"01 Nguyễn Trãi (Trung Tâm Thị Trấn), TT. Chư Prông, H. Chư Prông, Tỉnh Gia Lai"
1291,Tỉnh Gia Lai,"150 Nguyễn Viết Xuân (Khu Dân Cư, Đối Diện Công Viên), P. Hội Phú, TP. Pleiku, Tỉnh Gia Lai"
1292,Tỉnh Gia Lai,"17 Lê Lợi (Ngã Tư Chợ Đak Đoa), TT. Đak Đoa, H. Đak Đoa, Tỉnh Gia Lai"
1293,Tỉnh Gia Lai,"1239 Quang Trung, Tổ 6, P. Tây Sơn, TX. An Khê, Tỉnh Gia Lai"
1294,Tỉnh Gia Lai,"183 Lý Thái Tổ, P. Yên Đỗ, TP. Pleiku, Tỉnh Gia Lai"
1295,Tỉnh Gia Lai,"101 Đinh Tiên Hoàng, P. Diên Hồng, TP. Pleiku, Tỉnh Gia Lai"
1296,Tỉnh Gia Lai,"233 Phạm Văn Đồng, P. Thống Nhất, TP. Pleiku, Tỉnh Gia Lai"
1297,Tỉnh Gia Lai,"203 Hùng Vương, P. Hội Thương, TP. Pleiku, Tỉnh Gia Lai"
1298,Tỉnh Gia Lai,"36 Trần Phú, P. Diên Hồng, TP. Pleiku, Tỉnh Gia Lai"
1299,Tỉnh Hà Giang,"Thôn Vinh Quang, X. Tân Quang, H. Bắc Quang, Tỉnh Hà Giang"
1300,Tỉnh Hà Giang,"532 Lý Thường Kiệt, P. Ngọc Hà, TP. Hà Giang, Tỉnh Hà Giang"
1301,Tỉnh Hà Giang,"271 - 273 Nguyễn Trãi (Ngã Ba Cầu Trắng), P. Nguyễn Trãi, TP. Hà Giang, Tỉnh Hà Giang"
1302,Tỉnh Hà Giang,"Kiot B5+B6 (Cửa Chợ Thị Trấn), Chợ TT Việt Quang, TT. Việt Quang, H. Bắc Quang, Tỉnh Hà Giang"
1303,Tỉnh Hà Giang,"43 Trần Phú (Ngã Ba Thị Trấn Tam Sơn), TT. Tam Sơn, H. Quản Bạ, Tỉnh Hà Giang"
1304,Tỉnh Hà Giang,"77 Đường 3/2 (Ngã Ba Vành Đai), TT. Đồng Văn, H. Đồng Văn, Tỉnh Hà Giang"
1305,Tỉnh Hà Giang,"86 Trần Phú (Gần Trường Mầm Non Sao Mai), P. Minh Khai, TP. Hà Giang, Tỉnh Hà Giang"
1306,Tỉnh Hà Giang,"155 Trần Hưng Đạo (Cạnh Chợ Số 2), TT. Yên Minh, H. Yên Minh, Tỉnh Hà Giang"
1307,Tỉnh Hà Giang,"141, Tổ 7 (Đối Diện Cây Xăng 21), TT. Vị Xuyên, H. Vị Xuyên, Tỉnh Hà Giang"
1308,Tỉnh Hà Giang,"197 Nguyễn Thái Học (Đầu Cầu Yên Biên Mới), P. Trần Phú, TP. Hà Giang, Tỉnh Hà Giang"
1309,Tỉnh Hà Giang,"291 Nguyễn Thái Học (Ngã Tư Xổ Số Cũ), P. Trần Phú, TP. Hà Giang, Tỉnh Hà Giang"
1310,Tỉnh Hà Nam,"74 Biên Hòa, P. Minh Khai, TP. Phủ Lý, Tỉnh Hà Nam"
1311,Tỉnh Hà Nam,"283 Quang Trung (Gần Chợ Quế), TT. Quế, H. Kim Bảng, Tỉnh Hà Nam"
1312,Tỉnh Hà Nam,"369 Nguyễn Hữu Tiến (Chân Cầu Vượt Đồng Văn), P. Đồng Văn, TX. Duy Tiên, Tỉnh Hà Nam"
1313,Tỉnh Hà Nam,"721 Nguyễn Tất Thành (Chân Cầu Hoà Mạc), P. Hòa Mạc, TX. Duy Tiên, Tỉnh Hà Nam"
1314,Tỉnh Hà Nam,"439 Trần Hưng Đạo (Ngã Năm Minh Khôi), P. Trần Hưng Đạo, TP. Phủ Lý, Tỉnh Hà Nam"
1315,Tỉnh Hà Nam,"23 Lê Công Thanh (Ngã Ba Lê Công Thanh - Trần Hưng Đạo), P. Trần Hưng Đạo, TP. Phủ Lý, Tỉnh Hà Nam"
1316,Tỉnh Hà Nam,"139 Trường Chinh (Cách Bệnh Viện Đa Khoa Tỉnh Hà Nam 300M), P. Minh Khai, TP. Phủ Lý, Tỉnh Hà Nam"
1317,Tỉnh Hà Nam,"433 Lý Thường Kiệt, P. Lê Hồng Phong, TP. Phủ lý, Tỉnh Hà Nam"
1318,Tỉnh Hà Nam,"119 Lê Công Thanh, P. Minh Khai, TP. Phủ Lý, Tỉnh Hà Nam"
1319,Tỉnh Hà Tĩnh,"Thôn Hòa Bình (Ngã Ba Chợ Voi), X. Kỳ Phong, H. Kỳ Anh, Tỉnh Hà Tĩnh"
1320,Tỉnh Hà Tĩnh,"Thôn Song Hồng (Đối Diện Chợ Cương Gián), X. Cương Gián, H. Nghi Xuân, Tỉnh Hà Tĩnh"
1321,Tỉnh Hà Tĩnh,"81 Hải Thượng Lãn Ông (Ngay Ngã Tư - Giao Xuân Diệu), P. Bắc Hà, TP. Hà Tĩnh, Tỉnh Hà Tĩnh"
1322,Tỉnh Hà Tĩnh,"TDP Trung Nghĩa (Đối Diện Chợ Trung Nghĩa), TT. Lộc Hà, H. Lộc Hà, Tỉnh Hà Tĩnh"
1323,Tỉnh Hà Tĩnh,"202 Xô Viết Nghệ Tĩnh (Đối Diện Công An Huyện Cũ), TT. Nghèn, H. Can Lộc, Tỉnh Hà Tĩnh"
1324,Tỉnh Hà Tĩnh,"140 Trần Phú (Đối Diện Chợ Hồng Lĩnh), P. Bắc Hồng, TX. Hồng Lĩnh, Tỉnh Hà Tĩnh"
1325,Tỉnh Hà Tĩnh,"184 Nguyễn Công Trứ (Ngay Ngã Tư), P. Tân Giang, TP. Hà Tĩnh, Tỉnh Hà Tĩnh"
1326,Tỉnh Hà Tĩnh,"437 Nguyễn Nghiễm (Ngã Ba Chợ Xuân An), TT. Xuân An, H. Nghi Xuân, Tỉnh Hà Tĩnh"
1327,Tỉnh Hà Tĩnh,"530 Hà Huy Tập (Ngã Tư Cầu Phủ), P. Đại Nài, TP. Hà Tĩnh, Tỉnh Hà Tĩnh"
1328,Tỉnh Hà Tĩnh,"93 Nguyễn Du (Gần Chợ Giang Đình), TT. Tiên Điền, H. Nghi Xuân, Tỉnh Hà Tĩnh"
1329,Tỉnh Hà Tĩnh,"140 Hà Huy Tập (Ngã Tư Chợ Hội), TT. Cẩm Xuyên, H. Cẩm Xuyên, Tỉnh Hà Tĩnh"
1330,Tỉnh Hà Tĩnh,"243 Trần Phú (Ngã Tư Huyện Đội), TT. Hương Khê, H. Hương Khê, Hà Tĩnh"
1331,Tỉnh Hà Tĩnh,"22 Yên Trung (Cạnh Sân Vận Động), TT. Đức Thọ, H. Đức Thọ, Tỉnh Hà Tĩnh"
1332,Tỉnh Hà Tĩnh,"91 Lý Tự Trọng (Ngã Tư Lý Tự Trọng - Xuân Diệu), P. Bắc Hà, TP. Hà Tĩnh, Tỉnh Hà Tĩnh"
1333,Tỉnh Hà Tĩnh,"185 Chính Hữu (Ngã Tư Chính Hữu), P. Nguyễn Du, TP. Hà Tĩnh, Tỉnh Hà Tĩnh"
1334,Tỉnh Hà Tĩnh,"45 Trần Phú (Ngã Tư Trần Phú – Lý Tự Trọng), P. Trần Phú, TP. Hà Tĩnh, Tỉnh Hà Tĩnh"
1335,Tỉnh Hà Tĩnh,"02 Hà Tôn Mục, P. Nam Hà, TP. Hà Tĩnh, Tỉnh Hà Tĩnh"
1336,Tỉnh Hà Tĩnh,"98 Hải Thượng Lãn Ông, P. Bắc Hà, TP. Hà Tĩnh, Tỉnh Hà Tĩnh"
1337,Tỉnh Hà Tĩnh,"361 Lý Tự Trọng, TT. Thạch Hà, H. Thạch Hà, Tỉnh Hà Tĩnh"
1338,Tỉnh Hải Dương,"Thôn Du La (Ngã Tư Chợ Cầu Sâng), X. Cẩm Việt, H. Thanh Hà, Tỉnh Hải Dương"
1339,Tỉnh Hải Dương,"785 Trần Hưng Đạo (Gần Chợ Hiệp Sơn), P. Hiệp Sơn, TX. Kinh Môn, Tỉnh Hải Dương"
1340,Tỉnh Hải Dương,"Thôn Nghĩa Dũng (Đối Diện Cổng Làng Nghĩa Dũng), X. Đại Sơn, H. Tứ Kỳ, Tỉnh Hải Dương"
1341,Tỉnh Hải Dương,"Thôn Cậy, X. Long Xuyên, H. Bình Giang, Tỉnh Hải Dương"
1342,Tỉnh Hải Dương,"206 Nguyễn Lương Bằng (Ngã Tư Neo), TT. Thanh Miện, H. Thanh Miện, Tỉnh Hải Dương"
1343,Tỉnh Hải Dương,"220 Điện Biên Phủ (Ngã 3 Lối Rẽ Vào Chợ Hồ Máy Sứ), P. Phạm Ngũ Lão, TP. Hải Dương, Tỉnh Hải Dương"
1344,Tỉnh Hải Dương,"355 Ngô Quyền (Ngã Tư Bình Lộc), P. Tân Bình, TP. Hải Dương, Tỉnh Hải Dương"
1345,Tỉnh Hải Dương,"Thôn Phủ, X. Thái Học, H. Bình Giang, Tỉnh Hải Dương"
1346,Tỉnh Hải Dương,"28 Nguyễn Lương Bằng (Gần Gã Tư Đền Tranh), TT. Ninh Giang, H. Ninh Giang, Tỉnh Hải Dương"
1347,Tỉnh Hải Dương,"255 - 257 Thanh Xuân (Gần Ngã 4 Bình Giang), P. Phả Lại, TP. Chí Linh, Tỉnh Hải Dương"
1348,Tỉnh Hải Dương,"438 Trần Hưng Đạo (Gần Quảng Trường Sao Đỏ), P. Sao Đỏ, TP. Chí Linh, Tỉnh Hải Dương"
1349,Tỉnh Hải Dương,"385-387-389 ĐT391, TT. Tứ Kỳ, H. Tứ Kỳ, Tỉnh Hải Dương"
1350,Tỉnh Hải Dương,"309-311 Nguyễn Hữu Cầu (Gần Chợ Cầu Phú Lương), P. Ngọc Châu, TP. Hải Dương, Tỉnh Hải Dương"
1351,Tỉnh Hải Dương,"85 Nguyễn Thái Học (Cổng Chợ Sao Đỏ), P. Sao Đỏ, TP. Chí Linh, Tỉnh Hải Dương"
1352,Tỉnh Hải Dương,"95 Quang Trung, P. Quang Trung, TP. Hải Dương, Tỉnh Hải Dương"
1353,Tỉnh Hải Dương,"18 Trần Hưng Đạo, P. An Lưu, TX. Kinh Môn, Tỉnh Hải Dương"
1354,Tỉnh Hải Dương,"57 Ngân Sơn, P. Trần Phú, TP. Hải Dương, Tỉnh Hải Dương"
1355,Tỉnh Hải Dương,"102 Chi Lăng, P. Nguyễn Trãi, TP. Hải Dương, Tỉnh Hải Dương"
1356,Tỉnh Hải Dương,"618 Nguyễn Văn Linh, P. Tân Bình, TP. Hải Dương, Tỉnh Hải Dương"
1357,Tỉnh Hải Dương,"343 Nguyễn Chế Nghĩa, TT. Gia Lộc, H. Gia Lộc, Tỉnh Hải Dương"
1358,Tỉnh Hải Dương,"10-10A-12 Lý Thường Kiệt, P. Trần Phú, TP. Hải Dương, Tỉnh Hải Dương"
1359,Tỉnh Hải Dương,"213 Nguyễn Lương Bằng, P. Thanh Bình, TP. Hải Dương, Tỉnh Hải Dương"
1360,Tỉnh Hậu Giang,"Thửa Đất 119, Bản Đồ 14, Đường Trần Hưng Đạo (Ngay Bưu Điện), P. 1, TP. Vị Thanh, Tỉnh Hậu Giang"
1361,Tỉnh Hậu Giang,"Thửa Đất 4056, Bản Đồ 02 (Đối Diện Trường THPT Châu Thành A), TT. Một Ngàn, H. Châu Thành A, Tỉnh Hậu Giang"
1362,Tỉnh Hậu Giang,"Lô C1-22 Hùng Vương (Đối Diện Chợ Ngã Sáu, Gần Cổng Chào Trung Tâm Thương Mại), Ấp Thị Trấn, TT. Ngã Sáu, H. Châu Thành, Tỉnh Hậu Giang"
1363,Tỉnh Hậu Giang,"Thửa Đất 1800 - 1801, Bản Đồ 04, TT. Cây Dương, H. Phụng Hiệp, Tỉnh Hậu Giang"
1364,Tỉnh Hậu Giang,"Thửa Đất 404 (Đối Diện UBND Phường 7), Tờ Bản Đồ 01, P. 7, TP Vị Thanh, Tỉnh Hậu Giang"
1365,Tỉnh Hậu Giang,"64 Đường 30/4 (Gần Trường THPT Lê Qúy Đôn), P. Lái Hiếu, TP. Ngã Bảy, Tỉnh Hậu Giang"
